label,text
,"Hi, 

My boyfriend and I are currently LOOKING for a place to stay near SJSU. Our budgets are roughly $1300 each. We would like a place that has a parking spot and is also located in a safe location. If there is any available, please message or email me (emvalee2002@gmail.com) 

ALSO, my friend (FEMALE) is also LOOKING for a private bedroom with an attached bathroom at The Grad to stay. Please message me if there is any available!"
,"private room with shared bathroom for rent in north san jose 95131

15 mins away by bus

No pets and overnight guests

Price: $1000/month included utilities
Deposit: $1000 

Price can negotiate if stay more than a year. 

Available August 20th
Any questions please message me. Thanks"
,"Looking for a private room to rent close to SJSU!
I am a third year Management Information Systems major looking for a private room. My budget is around $1000 and I am looking for something that is walking distance to SJSU. 
I am very outgoing and sociable but I'm also down to study together and do work!"
,"Looking for accommodation end of july or august  first week near sjsu.Reaching out for bedroom space in any of the following apartments 101 san fernando,33 S , Colonnade,360 apartments or any other apartments very close to sjsu."
,"Urgently looking!!!!

Looking for someone to take over my lease at the grad starting in august.

Female only and student only 
3b/3b
Private room and attached bathroom
1725
Pool and gym
Pet friendly
5 min walk to SJSU 

Message me for more info!!"
,"Hello!
I'm Luis and I am looking to rent a room for 2 males with no preference to other genders who we will be renting with. I will be attending San Jose State University this coming Fall and just need a place to stay. We are looking to spend a maximum of $1,600 for both of us. Let me know if there are any accommodations!"
,"Hello, I am an international student from Madagascar who will attend De Anza for Fall.

I am looking for a furnished room around De Anza College, preferably in Cupertino, Sunnyvale or anywhere near VTA bus route 23, 25, 51 or 55 

I am a quiet person who don't smoke, I don't do alcohol nor drugs.

My budget is between 700 - 1100 $, and my preferred moving date is on September 1st.

Please reach out."
,"Hello everyone, I am currently LOOKING for someone(MALE ONLY) to sublet my unit in a 4B apartment (Bedroom B) at the Grad.

The floor plan is D2, and it is conveniently located just a block away from the SJSU campus.

The rent will be $1629 per month, which includes utilities, wifi, and furniture. ( **I am willing to cover the difference to make rent $1500 a month. **)

Please message me if you are interested.

The lease will start from August 19, 2023, and end on July 31, 2024."
,"Hi! My housemate (M) and I (F) are looking for a 3rd housemate to fill in a vacant master room in our 3bed/2bath apartment in North San Jose. We are minutes from downtown and 4 min from the airport. Move in around mid-August. 

You will have your own private bathroom with shared common areas. The room is large but I can find exact footage if needed. 

Rent is ~$1500 before utilities. We have in-unit washer and dryer and AC/heating. Parking is additional cost if needed. We also have access to the club house, 24 hour fitness studio and pool/hot tub.

We are both UC Davis grads in our early 20s that are working in healthcare. We’re both very clean, respectful, outgoing and friendly! I have a 1 year old female cat so must be pet friendly (-: 

Please message me if you’re interested or would like more details!"
,"(URGENT)
Hello everyone, I am currently LOOKING for someone(MALE ONLY) to sublet my unit in a 4B apartment (Bedroom B) at the Grad. The floor plan is D4, and it is conveniently located just a block away from the SJSU campus. The rent will be $1557 per month, which includes utilities, wifi, and furniture. Please pm me/email me if you are interested.
(maxmaybach@gmail.com)
The lease will start from August 19, 2023, and end on July 30, 2024."
,"Hey guys! i’m looking for a single room that would be shared by one other person for my last year at sjsu and possibly past that near (or somewhat) close to campus! looking to move in around the beginning of fall semester, our budget is around 800-1200 for the entire room"
,"Hi! I have a spacious master bedroom available at One South Market Apartments. I’m looking to fill it with two people sharing or just one person. Rent is $1900 or $950 each and it has its own walk in closet and bathroom. The living space is also really nice and the building has a gym, pool, and is right in downtown, about a 7 minute walk to campus. I’m not there right now but I do have a video of the floor plan. Message/comment for more details!

"
,Hello I am helping my little brother and his friend find housing near SJSU. They are two male student athletes looking for a two bedroom around $1000-$1200 each. They are looking to move in asap!
,"Hello, I am an exchange student from Austria and I am urgently looking for accommodation from mid - August near SJSU. 
I prefer to have my own bedroom, but I would be very happy to have roommates, regardless of gender. If anyone is also looking for a nice roommate, please get in touch with me.

IG: ronja.horn"
,"I have a master bedroom for rent in a house about 20 min drive to SJSU!
$1575/mo (plus utilities)
Private master bedroom with en suite bathroom and walk in closet 
Parking included (lots of parking available)
Common area
Kitchen with modern stainless steel appliances, 5-burner gas range, and ample storage space
Bright and spacious living room
In-house laundry
Central heating 
More info
End unit with lots of walkable open space
Big park just outside the house
5 min drive from grocery stores
Plenty of guest parking
Right next to 280 hwy
Move-in date is 7/15 and the term is one year. Security deposit is 1 month. House is currently furnished. There will be a total of 5 occupants in the house. We are a mix of students and young professionals. We’re very friendly, non-smoking, like to keep the house clean and are looking for similar individuals to join us. We enjoy hiking, music festivals, and spending time outdoors.
I am reviewing applications now for immediate move-in! If you’re interested in a viewing or applying, please comment below 🙂"
,"Hi All,  we are 3 people looking for 2 more working professionals (no gender preference) to sign a lease for a single independent house in Milpitas starting mid-August. It’s a huge 5B 3B house.
Please contact me for details. Thanks!"
,"URGENT!!!!!!

Hello!! 

I’m looking for a person to SHARE A ROOM WITH ME in a house I have found recently with another person as soon as possible before the start of next semester. Must be LGBTQ+ friendly, clean and respectful!

If you are interested in the place, please message me and I will send more details!! Thank you!!! 

#: 661-487-4682
IG: @reece_aaaaaa
Messenger: Reece Aralar

small info about me
- 2nd year majoring in biomed engineering
- 18 turning 19 in november
- hobbies: listening to music, gaming, chilling, watching shows (trying to get into k-dramas recently), dancing every now and then
- quiet at most times, minding my own business yk"
,"Temporary private/ shared accommodation available for 1 or 2 females in 2B 2B apartment at Avalon Morrisson Park

Address: 838 Cinnabar St, San Jose, 95126.

Date of availability:
August 17th to September 26th 2023

No of spots available: 2 in the bedroom

Rent : $650 includes rent, utilities, wifi (shared)

In-house Facilities : Bed, Washer and Dryer, Fridge, Dishwasher, Oven, Microwave , Centralized AC/ Heater

VTA bus stops nearly 3-4min walk on either sides of the apartment , Light Rail ,  grocery outlet, Whole Foods, ATMs nearby and 10 mins walk to the university.

Contact: +19254810053"
,"URGENT!!!!!!

Hello!! 

I’m looking for a SHARED room to move in and sign the lease as soon as possible before the start of next semester. My budget is $800 + utilities. I am mainly looking for a quiet and chill place/group. The place must have a yearly lease and must be a good walking or biking distance from San Jose State University. Must be LGBTQ+ friendly, clean and respectful! 

If you are interested, please message me!! Thank you!!! 

#: 661-487-4682
IG: @reece_aaaaaa
Messenger: Reece Aralar

small info about me
- 2nd year majoring in biomed engineering
- 18 turning 19 in november
- hobbies: listening to music, gaming, chilling, watching shows (trying to get into k-dramas recently), dancing every now and then
- quiet at most times, minding my own business yk"
,"I have a room available in a 2B2B apartment The apartment is 5 minutes by walk from SJSU and 2 blocks from Duncan. The rent includes water as well. One of the rooms is shared by 2 students and the rent for the other room is 
$650 each(shared with 2 people)
$1300~ (for the private)
The apartment also comes with a parking and the living room is already furnished. 
Message me for more details!
peace"
,"Urgently looking for 2 or 3 more female and male roommates to rent/apply a house with a backyard close to
SJSU. Budget 1000-1250$ (flexible) a room including everything. Currently I have a girl roommate friend who is on board!
Looking for people who are chill,
communicative, respectful, friendly and keeping common areas clean, 420, Igbt, and alcohol friendly.
The thought of wanting a backyard is to not give crazy parties but to enjoy our little get together times with friends and roommates, possibly small celebrations, or study sessions!
Feel free to share your room with a friend or significant other.
I have a few houses that I am in contact with so feel free to reach out to me 🙂 Time is short!"
,"🏢🌇 Apartment Hunting in Downtown San Jose 🌇🏢

Hey there, 
I'm an international Indian student, and I'm currently on the lookout for a spot in an apartment in Downtown San Jose.

📅 Move-in Date: Mid-August

Here's what I'm looking for:
🛌 1 bedroom (open to roommates)
🛁 Private bathroom preferred
🍳 Fully equipped kitchen
🚇 Easy access to public transportation
🏙️ Close proximity to University 

*Female Indian flat mates preferred*

If any of you know of any available apartments or have any suggestions, please drop me a message or leave a comment below. 📩"
,"urgently looking! 

Does anybody know of any apts or anyone who is willing to do a 6 month lease near SJSU? My friends and I only have a semester left and are looking to go the 6-month option but we haven’t had any luck yet. please let me know if anyone knows of anything!! thank you"
,"URGENT!!!!!!

Hello!! 

I’m looking for a shared room as soon as possible before the start of next semester. My budget is $800 + utilities. The place must have a yearly lease and must be a good walking or biking distance from San Jose State University. Must be LGBTQ+ friendly, clean and respectful!

If you are interested, please message me!! Thank you!!! 

#: 661-487-4682
IG: @reece_aaaaaa"
,Anyone working at the grad? I been calling them to ask a few important questions and their not answering 🙄. If anyone works there or can possibly help me get a hold of the grad it will be really appreciated
,"Temporary private/ shared accommodation available for 1 or 2 females in 2B 2B apartment at Avalon Morrisson Park

Address: 838 Cinnabar St, San Jose, 95126.

Date of availability:
August 17th to September 26th 2023

No of spots available: 2 in the bedroom

Rent : $650 includes rent, utilities, wifi (shared)

In-house Facilities : Bed, Washer and Dryer, Fridge, Dishwasher, Oven, Microwave , Centralized AC/ Heater

VTA bus stops nearly 3-4min walk on either sides of the apartment , Light Rail ,  grocery outlet, Whole Foods, ATMs nearby and 10 mins walk to the university.

Contact: +19254810053"
,Hello I am looking for a place for the new school year . This will be my last year at SJSU. My budget is between $500-$700. I am open to sharing rooms with someone or having my own room I don’t mind either one. I am a responsible and organized person. If you would like to become potential roomates or are in need of a person to fill in a place please reach out !
,"URGENT ‼️ 8/1 starts 
Looking for 2 roommates in a 4b4b townhouse 
Everyone will get their own bathroom, one floor a room per person so each can really have their own privacy.

-1st floor 1b1b have its own bathroom inside the room $1550/month
-2nd floor 1b1b have its own bathroom next to the room $1600/month
(Only one people living in one room, if you are couple looking for one room there will be extra fee)
If you are friends looking for a place to stay together, both room will get $50 off discount 

-Utilities share; Security deposit 2 months rent; 1 year lease 
-Private community that has plenty parking spot
-In house laundry, central heating and cooling 
-Must have income proof or enough proof of funds to make sure rent can be afford
-NO pets, smoking, drugs, alcoholic, house party 
-Welcome to have guests but please tell others before you bring him/her home. Be polite and clean 
-Always keep common area clean after use 
-People that are willing to communicate with each other 

Perfect location 
Walking Distance:
-5 mins to VTA
-5 to 10 mins to shopping complex (Safeway, CVS, Autozone, hair salon, UPS, Banks - JPMC, BofA etc.)
Driving Distance:
-5 mins to Target
-10 mins to 99 ranch market 
-Costco, Flea Market and Library nearby

Park
Walking Distance:
-5 to 10 mins to parks (Penitencia creek park)
-biking and hiking trails nearby

Public Transit
Walking Distance:
-5 mins to Penitencia Creek Station
-10 mins to Berryessa & Capitol
-15 mins to Berryessa Station
-20 mins or 5 mins drive to Google, Facebook and other tech company bus stops
-Bart Station；Milpitas and Berryessa nearby

School
Driving Distance:
-11 mins to SJSU
-15 mins to SCU
-16 mins to NEU

Highway
-Quick and easy access to I-680

If you are interested in the house, feel free to contact me through Message: 9259513326
WeChat or Instagram: charis__chi
Thank you!"
,"URGENT!!!!!!

Hello!! 

I’m looking for a shared room as soon as possible before the start of next semester. My budget is $800 + utilities. The place must have a yearly lease and must be a good walking distance from San Jose State University. Must be LGBTQ+ friendly, clean and respectful! Thank you!!! 

#: 661-487-4682
IG: @reece_aaaaaa"
,"I have a master bedroom suite for rent in a townhouse less than 1 minute walk from the very lively and trendy Santana Row!

$1700/mo (plus utilities)
* Private master bedroom with en suite bathroom
* TV mount
* 156 sq ft
* Parking included

Common area
* Kitchen with modern stainless steel appliances, 5-burner gas range, and ample storage space
* Bright and spacious living room
* In-house laundry
* Central heating and cooling

More info
* End unit with lots of walkable open space
* Big park just outside the house
* 5 min drive from grocery stores
* Plenty of guest parking
* 3 minutes to 880, 17, 280

This is the perfect location being so close to Santana Row’s restaurants and cafes, shops, live entertainment, farmer’s market, and it’s only a 6-minute walk to Valley Fair!

Move-in date is 7/28 and the term is one year. Security deposit is 1.5 month’s rent. House is currently unfurnished, as we move in we will add furniture to the common area. There will be a total of 5 occupants in the house, plus a cat that will mostly be in its room with the owner. We are a mix of students and young professionals. We’re very friendly, non-smoking, like to keep the house clean and are looking for similar individuals to join us. We enjoy climbing, hiking, music festivals, and spending time outdoors.

I am reviewing applications now for immediate move-in! If you’re interested in a viewing or applying, please comment below 🙂"
,"Reposting from a little bit ago because I’m still looking for roommates for 2bed 1bath 

Hi! My name is Nguyen, I’m 23years old, and I’m looking for roommates for the 23’-24’ school year. I’m going to be an incoming junior  next fall & am looking to join a group of girls!

- I love going out on the weekends as well as meeting new people but definitely make school a priority too!
- I’m pretty open to having friends over regularly 
- I’m a sociology major & love going to the beach, listening to music, and exploring cool spots
- Looking to be in a single or double, but open to a triple if I really vibe with the girls!
- I’m pretty clean and organized too
- Would love to be good friends with my roomies and go out together!
 
Kindly dm for more information"
,"Two rooms in a 3 bed/2bath in downtown San Jose near 1st and Julian for sublet Sept 2023-May 2024. Rent is $1226/month, and includes amenities such as gym, pool, in-house laundry, and 1 parking spot between the two rooms for rent. You will be sharing the space with one other student, who is taking the master bed/bath.

Please message if interested!"
,"Temporary private/ shared accommodation available for 1 or 2 females in 2B 2B apartment at Avalon Morrisson Park

Address: 838 Cinnabar St, San Jose, 95126.

Date of availability:
August 17th to September 26th 2023

No of spots available: 2 in the bedroom

Rent : $650 includes rent, utilities, wifi (shared)

In-house Facilities : Bed, Washer and Dryer, Fridge, Dishwasher, Oven, Microwave , Centralized AC/ Heater

VTA bus stops nearly 3-4min walk on either sides of the apartment , Light Rail ,  grocery outlet, Whole Foods, ATMs nearby and 10 mins walk to the university.

Contact: +19254810053"
,"Urgently looking!!!!

Looking for someone to take over my lease at the grad starting in august.

Female only and student only 
3b/3b
Private room and attached bathroom
1725
Pool and gym
Pet friendly
5 min walk to SJSU

Message me if interested!!!"
,
,"Hey everyone, I’m looking for a private room close to SJSU campus preferably with parking (willing to pay extra). But am also open to Sunnyvale-san Jose-Milpitas area.  I’m very respectful of peoples space, & very clean I also wouldn’t mind carpooling to school since I do have a car. 

I’m a senior psychology major at SJSU , also work part time at a bank so I wouldn’t be at the place very often. 
My budgets $700-1000. Lmk if you have any openings ! Shoot me a message ."
,
,"AVAILABLE 1 bedroom in a 2b/1b small home near SJSU and japantown. FEMALE ONLY 

my partner and I are urgently looking for a roommate to join our lease starting August 1, but my posts keep getting deleted for some reason.

Rent for the room is $900 a month. We are both students in our mid 20's.

Please reach out if interested."
,"*Permanent accommodation available for 2 people in a living room of a  2 bed 2 bath apartment at Avalon Cahill Apartments* 

Availability from: Aug 2023

Rent : $480+ utilities

If interested, contact
Tanuritha:- +1 (747) 476-9140
Manasi:- +1 (669) 230-9352"
,"Looking for a final fourth roommate to sign a one year lease with! Female only please.

My two other roommates and I are looking for a last roommate to apply for a 4 bd/2.5 ba house 10-15 min walking distance from SJSU. The house is in a very safe area in a residential neighborhood; please message me for pics. The individual rent for this place is $1050 w/o utilities, and includes parking.

We have a zero tolerance rule for alcohol, drugs and smoking in the house due to medical and religious reasons, so please be wary of that. We have two hamsters and are planning to get an ESA animal in the future. We are also disability and LGBTQIA+ friendly!

Lastly, the three of us are good friends who live very harmoniously, and would like a fourth roommate who would fit into that as someone who is as respectful and amicable as us.

The landlady really likes us and we are guaranteed the place as long as we meet all the requirements, etc. We’re looking to move in mid-August, before the semester starts. If you’re interested, please message me!"
,"Hi,

Temporary/permanent accomodation available from 8 August for female. Private bedroom and private bath. 0.4 miles from SJSU. 
Apartment name : 360 Residences 
Ping me for more details if interested."
,"**URGENT- AVAILABLE **(Female)

My transfer process to UCSD has currently been happening and I'm still looking for someone to take over my lease for the 2023-2024 school year at The Grad. The space I am *reletting* is a SHARED room in a D1 floorplan (4B,4B, one double room, and three single rooms) on the fifth floor, with the price being **$1,233 (utilities included).** However, because I'm desperately looking for someone to take over, I am willing to cover the difference to make rent **$950** a month or **cover all the pet fees** if you decide to bring a pet. The shared room has separate closets and one shared bathroom. Amenities include an in-unit washer and dryer, furniture, provided TV, new appliances and an apartment pool/deck, study rooms, lounge rooms, and many community events/giveaways. Please message me if interested or if you know someone who is!!

NUMBER: 669-226-8194

INSTA: @agape.t"
,"$1600
Room for rent. Near SJSU and JAPANTOWN
MOVE IN AUGUST!
-Everyone is friendly, nice and professional living here
-Modern Smart House
-3 story home with new GA appliances
-Private bathroom with double sinks
-Sliding closet door with walk in closet"
,"Hi ,
I am Rushank and I just started working in the bay area.
I am looking for a place to rent starting end July / Early August. (Cupertino/Santa Clara/San Jose). preferably near Apple.
I am looking for a private room with an attached bathroom or starting a new lease with the new apartment.  (preferably 2b2b) Near to Cupertino
About me:
I am vegetarian, non-smoker, and like to keep the place clean.
I like to play badminton and enjoy doing hikes. I love playing board games and cards.
Anyone who already has an apartment and looking for a rommate or someone  who is in the same boat as me looking for a place please message me and we can look for place together."
,"Private house (4bedroom / 4 bathroom) , can be leased individually available at Morgan
 Hills.

Address:
16 Seda Ln, Morgan Hill,
CA 95037

Amenities:Washer, Dryer, Dishwasher, Microwave, Refrigerator, AC/Heater, Swimming Pool, Jacuzzi, Gym

Contact me : 408-499-2357 for more details."
,"Hey! I am URGENTLY looking for a private room near SJSU with the move-in date being ASAP. My budget is $1,000-1,300 with parking included. Please contact me with pictures of available space 323-425-5668."
,Hello everyone I am looking for a 1bed/ 1 bath room or apartment with parking for a car budget is 900-1100 a month with utilities included. pls let me know!!!!
,"*Looking for FlatMate *

Hi everyone! We're looking for a fifth roommate (FEMALE ONLY) to occupy the hall spot at our 2b/2b at Colonnade Apartments starting this fall. The lease is new and a year long starting August 11th. 

Rent should be around 550 without utilities.

There's four of us, International students from India, sharing each bedroom. Preferably looking for Indians with no pets, who is clean and accommodating. Please reach out if you're interested. Thank you!"
,"Hey everyone, 

I’m looking for a private or shared room for the following month. My budget is $800. Must be LGBTQ+ friendly. Thanks!"
,"URGENTLY LOOKING FOR A FEMALE TO TAKE OVER MY ROOM!!!! 
it is a D2 floor Plan at The Grad. I have a premium room, which means the bathroom and walk in closet are attached. It is on the 18th floor with great downtown views. Fully furnished and all utilities included. will be completely deep cleaned before your move in. I also have a parking spot available if you wish to take that over since there is a waitlist on parking. Full access to all amenities such as pool, hot tub, grills, rec room, yoga room, gym, study rooms, etc. I’m willing to also give tours ! Please let me know if you are interested or would like more information!"
,Hi guys I’m trying to relet my room at The Grad. It is right across the street from SJSU. It is fully furnished all utilities included. It is on the 18th floor and is a premium bedroom with walk in closet and bathroom attached. I also have a parking spot if you’d like to take that over as well in order to not be put on the waitlist which is already full. Rent is 1575! Please let me know as soon as possible. URGENTLY TRYING TO FIND SOMEONE !
,Hey guys! I'm a second year at SJSU and am looking for a private bedspace available 10-15 minutes from campus. My budget is about $1300 and I am looking to lease from August to next July. If you are looking for a roommate please let me know:)
,
,"AVAILABLE!!

1 bedroom available for rent in lovely back street of Campbell.
Non furnished bedroom with full sized closet, available. 
3 bedroom unit, with full kitchen, back patio, front lawn, cabin-style living room, full bathroom with shower/bathtub combo. 
Includes 2 parking spots. 
Laundry on site.

4 minute walking distance to Safeway, Dollar tree, drive through-coffee, Mexican restaurant, Italian restaurant, frozen yogurt, smoke shop, nail salon, movie theatre, liquor store, and the beautiful John D. Morgan park. 

3 minutes drive from highways 17, 880, and 85.

About a 13 minute drive to SJSU!

Room measurements:
10.8” W
10.8” L
8 feet high

Rent: $1450, utilities included
Rent for students: $1350, utilities included
Deposit is one months rent plus $500. 

Available July 1st, 2023 
1 year lease

Looking for a kind, clean, full time student or full time working professionals. Female or male. Two bedrooms available. Single occupancy per room. 

(Message if interested)"
,"URGENT!!! 
Hi everyone, i’m a junior transfer international student at SJSU
and i’m looking for a single room( also i’m open to shared room as well). The budget that i’m hoping for is around 600-800. i would like to move in first of August(8/1) if possible. if anyone has a open spot for housing or want to share bedroom together, send me a message. 
Thank you"
,Hi. I’m a graduate student looking for a 1 bed place in the area. My limit is $1100 per month. I am clean and quiet. Also a major bookworm! I want to move in mid August. Thanks.
,"Looking for accommodation:
Hi all,
I & my brother are looking for a private room and bathroom (preferably a townhouse) and looking to move in Aug 1st. Our budget is around $1200 and I need a parking spot as well. I'm a working professional my brother goes to SJSU for his Master's. We mostly keep to ourselves yet are very friendly and would love to hang out and make friends and chill.
We are non-vegetarian and have no other preferences at all.
I'm looking for a place around San Jose or Northside. I'm open to starting a new lease as well.
Please let me know of any leads.
(408)-228-7030
Thanks"
,"Hello!
I am an incoming transfer student who will be starting this fall at SJSU. 
I am looking for any private or shared room(s) for the fall-spring semester. A close walk to campus is preferable for me. 
I don't mind what gender I live with
My budget is 600-750$ a month with utilities included 
I am looking to move in around the second week of August 

Please reach out to me if anyone knows of any avaiable rooms!
Thank you!"
,"Hi! I am looking for a place to stay for the next AY preferably close to SJSU and prefer to have my own room and bathroom as well. (Shared bathroom with 1 other person is ok) Preferred move-in date is first week of August as I am moving from one apartment to another. My budget is around $1,000 - $1,500 (utilities included). I may have my girlfriend over most of the time but we like to keep to ourselves and stay in my room for the majority of the day (no disturbance). If you or anyone you know is looking for a flatmate, please let me know. TIA!"
,"Urgently looking!!! 

Hi everyone I have a space at the grad San Jose 5-10 min walk from sjsu.

August 2023-July 2024
3b/3b private room and bathroom 
C1 unit
Fully furnished
1625 a month (includes full access to all amenities)

Message me for more information and if interested!!"
,"*Permanent accommodation available for 2 people in a 2 bed 2 bath apartment at Avalon Cahill Apartments* 

Availability from: 20th Aug 2023

Rent : $480+ utilities

If interested, contact
Tanuritha:- +1 (747) 476-9140
Manasi:- +1 (669) 230-9352"
,"Me and my friend is looking for 2 rooms. Our budget is about $700/per room. We both study at SJSU.
My friend:- Sandali Yashodhara Wijeratne"
,"Hello. I’m looking for a roommate. I have a 2x2 in Milpitas, near Great Mall. It’s 12-15 minutes away from campus. You will be sharing the master bedroom with Karla Kco, $900 per month plus utilities. It comes with washer and dryer in the unit, you get your own bathroom, there’s also a gym, study center, rooftop with pool and hot tub, and is walking distance from the mall, grocery stores, and the Milpitas Bart Station. 
If you would like to see pictures or get a tour, please comment down below.
P.S. You must be ok with having a cat in the room. 
Thanks."
,Hey guys! I just started hunting for rooms out in San Jose. Just wanted to clarify whether it’s normal for people to ask for an application fee first before you even have viewed the room/apartment you are looking at.
,"Sublet: The Grad
Hey! I'm looking to sublet my unit August 2023 - July 2024

Key features:
- 17th Floor - Private view / Sunrise View 
- Facing San Jose State University and the mountains
- Fully furnished (bed, storage, desk, and chair) 
- Utilities included
- Wifi included
- Washer & Dryer included
- 55” television in living room
- Pet free room (pet access available if you wish to sign separately)
- Lease end: July 31st, 2024

Amenities: 
- Gym
- Jacuzzi $ pool
- Study rooms
- Gaming room (billiard/foosball)
- Yoga studio 
- Garaged safe indoor parking
- Grilling stations 
- Free printing 

Cost: 
- Rent is $1674, includes utilities, wifi, and furniture 
- Transfer fee is $300
- Parking is an extra $180 (extremely valuable private spot downtown)

Address: 88 E San Carlos, San jose"
,"Hello everyone, my name is Heer. I am looking for housing in Palo Alto nearby Stanford University. I will be starting my internship in August and planning to move there around August 24th. I am clean and a non-smoker. If you are looking for a roommate do reach out. I prefer a girl roommate. Any help is appreciated!"
,"Hi everyone, I am looking for a roommate to split a 2 bed 2 bath apartment in San Jose. Budget is $2000

I am a 26 year old software engineer, and I work on site five days a week. I’m looking for somewhere that includes a parking space, as I will be leasing a car soon.

Looking to move in before the end of July"
,Hi everyone! I am a female exchange student for incoming fall semester. I am looking for housing with walking distance and roommates from Auguest to December. My budget is arround 1000. Please feel free to contact me
,"HI everyone, I'm a junior international student (and I have a roommate) looking for a room or two rooms for us. The budget is no more then 1200, the location is not too far from sjsu, and I would like to move in at 8/12 or early. If anyone has a open spot for housing please comment dwon below, thanks in advance."
,Hi everyone. I’m looking for a private bedroom walking distance from the SJSU campus from middle of August. My budget is within $1000. I'm a waterpolo player and i will learn on SJSU. Please message me if something is available!
,"Hey, me and my roomates are looking for a female Roomate to take the master bedroom which is 1100+150 utilities which includes wifi, water, Gas, electricity and washer and dryer. The House is 2 blocks away from SJSU. The house comes with a back yard and a garage providing a ton of free parking for us. The room is individual rent so you wouldn’t have to worry about the rest of the groups rent if that’s a concern for you as well. Let me know soon!!! Because we want to find a Roommate that the rest of us would get on with before the landlady finds someone else to take the room."
,"Hi all! I am looking for a private room within a budget of $800 to $1,200, preferably with female roommates, close to SJSU. I'm friendly, clean, and responsible. 🙂
Please message me if you have any available options!"
,"Hello! I have a spacious room available for SJSU students only. It is only a ten minute walk to SJSU. The room is a single occupancy room in a 4 bedroom house. The rent is $1095 per month (includes utilities). If you plan to have a car, it is an extra $35 per month to park in the driveway. Extra street parking is also available. Please PM me for more details."
,"Hello everyone,
I am  in search of a private room preferably with walking distance to SJSU campus, please message me thank you"
,"Hello ! I’m looking for a girl to sublet my room in an all girls apartment at The Grad San Jose. Living space is shared with three other roommates.Amenities include : fitness center , yoga studio, study labs with free printers and computer access. Study rooms on each floor. 
1,560 for a single room on the 5th floor. Has attached bathroom, walk in closet. Shared kitchen ,fully furnished. In unit washer and dryer. Kitchen appliances.

Looking for someone to move in August 1,2023 - July 31, 2024. If interested for a different move in date please reach out to me !!

requirements are to make 3 times the rent and if you don’t to have a guarantor that does and has a credit score above 600 and has not been evicted before 

If you have any other questions and details on the room please email
Lozanomia8031@gmail.com"
,"URGENT
Hello everyone, I am currently looking for someone (MALE only) to sublet/relet my unit in a 4-person apartment at the Grad, only a block away from SJSU campus. The unit includes: 
-master bedroom and connected bathroom 
-fully furnished (bed, desk, couch, etc.)
-TV, washer, and dryer included 
-WiFi included
-fridge, microwave, stove, and oven 
-beautiful views of campus and surrounding areas from the 16th floor 
-access to all Grad amenities, including pool, gym, patio, and multi-purpose room 
-$1689/month rent 
-floor plan D6 
Lease term begins August 1, 2023 and ends July 31, 2024."
,Hello! I'm a transferring Design Studies student and I am urgently looking to room with female only roommates. My budget is $600-$750. I need to move in by August 5th-12th. Please reach out to me if you need another roommate!
,Hello everyone! I'm an incoming Design Studies transfer student this fall and I'm looking to room somewhere close to SJSU. My budget is about $700. I prefer an all female household. Please reach out to me if you have any leads/available space!
,"Looking for permanent accommodation near SJSU from July 28 onwards. My budget is around $1000. Private or shared works. Also, I have a super chill cat!"
,"Urgently looking!!! 

Hi everyone I have a space at the grad San Jose 5-10 min walk from sjsu.

August 2023-July 2024
3b/3b private room and bathroom 
C1 unit
Fully furnished
1625 a month (includes full access to all amenities)

Message me for more information and if interested!!"
,"Hello. I’m looking for a roommate. I have a 2x2 in Milpitas, near Great Mall. It’s 12-15 minutes away from campus. $1700 per month plus utilities. It comes with washer and dryer in the unit, you get you own bathroom, there’s also a gym, study center, rooftop with pool and hot tub, and is walking distance from the mall, grocery stores, and the Milpitas Bart Station. 
If you would like to see pictures or get a tour, please comment down below.
Thanks."
,Looking for anybody that is need of a roomate for the Fall Semester & I'm looking for monthly rent between of $500-$850 monthly. If anyone is looking for a roomate message me.
,"Hello guys, I am Aditya Karthik.
I am looking for a shared apartment near SJSU from the months of July or August until December 2023. 
Kindly ping me if there is any availability."
,"Hello! 
My roommate and I are both SJSU alumni and are looking for a third roommate. 

We have a single bedroom with a shared bathroom that is available for rent. The monthly rent is 1075 plus ultilities and includes a parking spot in our carport. It is a one year lease that will start on August 1st! We have been living at this location for two years and really enjoy having our landlord. The location is about 10/15 minutes away from SJSU and about 5 mins away from Santana Row. Please message me if you are interested and for more details!"
,"*Permanent accommodation available for 2 people in living room of a 2 bed 2 bath apartment at Avalon Cahill Apartments* 

Availability from: Aug 2023

Rent : $480+ utilities

If interested, contact
Tanuritha:- +1 (747) 476-9140
Manasi:- +1 (669) 230-9352"
,"Available now 2 private rooms in coed housing on dtsj. 7-8min walk to Spartan Stadium to catch shuttle to Sjsu. Pet friendly. Tandem parking on driveway. 

I can show you in person. Pls comment below and send pm. Thank you."
,"Hii my roommates and I (all Master’s students ) are looking for a 5th person to join us to start a new lease in August at a 2B2B apartment 5 min walking distance from campus. It’s a spacious, window side living room spot : $550-580 rent w/o utilities. It will be 5 people total in the apartment. We are pretty clean and responsible people and expect the same from our 5th roomie ✨ We’re looking for someone chill & friendly who is an addition to the group, not a subtraction 🤓🧚🏽‍♀️

Feel free to reach out if you’re interested! 🙃

PS we have no issues if you drink/ smoke occasionally or are a non-vegetarian 🌿

Female only!!"
,Urgent!!
